Saved configuration to: runs/scoutv2_brain_neuromod_auxcode_hi_seed1_20260706-184025/config.txt
Training Brain on cuda for 4 RL episodes
  Inner: 800000 timesteps, regime switch every 100000 steps
  Parallel Envs: 4
  Brain vectorization: async
  Async worker CPU threads: 1
  Decision interval: 10 inner updates

--- Starting Meta-RL PPO Training (Target: 4) ---
update 270/781 | step=276480 | SPS=643
update 270/781 | step=276480 | SPS=643
update 280/781 | step=286720 | SPS=644
update 280/781 | step=286720 | SPS=644
update 280/781 | step=286720 | SPS=643
update 280/781 | step=286720 | SPS=643
update 290/781 | step=296960 | SPS=644
update 290/781 | step=296960 | SPS=643
update 290/781 | step=296960 | SPS=643
update 290/781 | step=296960 | SPS=643
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 300/781 | step=307200 | SPS=643
update 300/781 | step=307200 | SPS=643
update 300/781 | step=307200 | SPS=643
update 300/781 | step=307200 | SPS=642
update 310/781 | step=317440 | SPS=643
update 310/781 | step=317440 | SPS=643
update 310/781 | step=317440 | SPS=643
update 310/781 | step=317440 | SPS=642
update 320/781 | step=327680 | SPS=643
update 320/781 | step=327680 | SPS=643
update 320/781 | step=327680 | SPS=642
update 320/781 | step=327680 | SPS=642
update 330/781 | step=337920 | SPS=643
update 330/781 | step=337920 | SPS=643
update 330/781 | step=337920 | SPS=643
update 330/781 | step=337920 | SPS=642
update 340/781 | step=348160 | SPS=643
update 340/781 | step=348160 | SPS=643
update 340/781 | step=348160 | SPS=643
update 340/781 | step=348160 | SPS=642
update 350/781 | step=358400 | SPS=643
update 350/781 | step=358400 | SPS=643
update 350/781 | step=358400 | SPS=643
update 350/781 | step=358400 | SPS=642
update 360/781 | step=368640 | SPS=643
update 360/781 | step=368640 | SPS=643
update 360/781 | step=368640 | SPS=643
update 360/781 | step=368640 | SPS=642
update 370/781 | step=378880 | SPS=643
update 370/781 | step=378880 | SPS=643
update 370/781 | step=378880 | SPS=642
update 370/781 | step=378880 | SPS=642
update 380/781 | step=389120 | SPS=643
update 380/781 | step=389120 | SPS=642
update 380/781 | step=389120 | SPS=642
update 380/781 | step=389120 | SPS=642
update 390/781 | step=399360 | SPS=643
update 390/781 | step=399360 | SPS=643
update 390/781 | step=399360 | SPS=642
update 390/781 | step=399360 | SPS=642
