preset,condition,seed,run_name,status,returncode,duration_seconds,composite_score,mean_post_switch_window_success_rate,mean_episode_avg_success_rate,median_steps_to_80,median_steps_to_95,hit_rate_80,hit_rate_95,mean_post_switch_policy_kl,mean_post_switch_value_delta_abs,mean_post_switch_neuromod_activity,inner_run_count,switch_count,run_dir,log_path,error,command
calib8x8,brain_neuromod_trainable_declr,2,calib8x8_brain_neuromod_trainable_declr_seed2,scored,0,18823.1,0.502055844018503,0.502055844018503,0.765333338578542,53056.0,78160.0,0.8666666666666667,0.3380952380952381,0.012473104142173681,0.37147605414724066,0.37272336456145805,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_declr_seed2_20260701-180038,sweeps/tvf2_declr/logs/calib8x8_brain_neuromod_trainable_declr_seed2.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --neuromod_decoder_lr 1e-05 --seed 2 --device cuda --run_name calib8x8_brain_neuromod_trainable_declr_seed2
calib8x8,brain_neuromod_trainable_declr,1,calib8x8_brain_neuromod_trainable_declr_seed1,scored,0,18875.8,0.5129265788756586,0.5129265788756586,0.8596666693687439,45584.0,76096.0,0.780952380952381,0.3476190476190476,0.011346851413217668,0.32685724010779743,0.3279919252491192,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_declr_seed1_20260701-180038,sweeps/tvf2_declr/logs/calib8x8_brain_neuromod_trainable_declr_seed1.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --neuromod_decoder_lr 1e-05 --seed 1 --device cuda --run_name calib8x8_brain_neuromod_trainable_declr_seed1
calib8x8,brain_neuromod_trainable_declr,3,calib8x8_brain_neuromod_trainable_declr_seed3,scored,0,17823.3,0.5142577356216586,0.5142577356216586,0.8719999969005585,52384.0,73800.0,0.8285714285714286,0.3047619047619048,0.011313057634591438,0.31295778139361313,0.31408908715707234,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_declr_seed3_20260701-231428,sweeps/tvf2_declr/logs/calib8x8_brain_neuromod_trainable_declr_seed3.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --neuromod_decoder_lr 1e-05 --seed 3 --device cuda --run_name calib8x8_brain_neuromod_trainable_declr_seed3
calib8x8,brain_neuromod_trainable_declr,4,calib8x8_brain_neuromod_trainable_declr_seed4,scored,0,17867.7,0.5012477093433635,0.5012477093433635,0.7956666688124339,55952.0,81608.0,0.8238095238095238,0.26666666666666666,0.011794184465959137,0.32256584438894464,0.3237452628355406,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_declr_seed4_20260701-231520,sweeps/tvf2_declr/logs/calib8x8_brain_neuromod_trainable_declr_seed4.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --neuromod_decoder_lr 1e-05 --seed 4 --device cuda --run_name calib8x8_brain_neuromod_trainable_declr_seed4
