Saved configuration to: runs/scoutv2_brain_constant_action_seed4_20260707-193716/config.txt
Training Brain on cuda for 4 RL episodes
  Inner: 800000 timesteps, regime switch every 100000 steps
  Parallel Envs: 4
  Brain vectorization: async
  Async worker CPU threads: 1
  Decision interval: 10 inner updates

--- Starting Meta-RL PPO Training (Target: 4) ---
update 10/781 | step=10240 | SPS=394
update 10/781 | step=10240 | SPS=393
update 10/781 | step=10240 | SPS=390
update 10/781 | step=10240 | SPS=389
update 20/781 | step=20480 | SPS=388
update 20/781 | step=20480 | SPS=388
update 20/781 | step=20480 | SPS=389
update 20/781 | step=20480 | SPS=389
update 30/781 | step=30720 | SPS=390
update 30/781 | step=30720 | SPS=389
update 30/781 | step=30720 | SPS=389
update 30/781 | step=30720 | SPS=389
update 40/781 | step=40960 | SPS=389
update 40/781 | step=40960 | SPS=390
update 40/781 | step=40960 | SPS=389
update 40/781 | step=40960 | SPS=389
update 50/781 | step=51200 | SPS=390
update 50/781 | step=51200 | SPS=389
update 50/781 | step=51200 | SPS=390
update 50/781 | step=51200 | SPS=388
update 60/781 | step=61440 | SPS=389
update 60/781 | step=61440 | SPS=389
update 60/781 | step=61440 | SPS=389
update 60/781 | step=61440 | SPS=389
update 70/781 | step=71680 | SPS=405
update 70/781 | step=71680 | SPS=405
update 70/781 | step=71680 | SPS=405
update 70/781 | step=71680 | SPS=404
update 80/781 | step=81920 | SPS=428
update 80/781 | step=81920 | SPS=428
update 80/781 | step=81920 | SPS=427
update 80/781 | step=81920 | SPS=427
update 90/781 | step=92160 | SPS=447
update 90/781 | step=92160 | SPS=447
update 90/781 | step=92160 | SPS=447
update 90/781 | step=92160 | SPS=446
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 100/781 | step=102400 | SPS=464
update 100/781 | step=102400 | SPS=464
update 100/781 | step=102400 | SPS=463
update 100/781 | step=102400 | SPS=463
update 110/781 | step=112640 | SPS=478
update 110/781 | step=112640 | SPS=478
update 110/781 | step=112640 | SPS=478
update 110/781 | step=112640 | SPS=477
update 120/781 | step=122880 | SPS=491
update 120/781 | step=122880 | SPS=491
update 120/781 | step=122880 | SPS=491
update 120/781 | step=122880 | SPS=490
update 130/781 | step=133120 | SPS=503
update 130/781 | step=133120 | SPS=502
update 130/781 | step=133120 | SPS=502
update 130/781 | step=133120 | SPS=501
update 140/781 | step=143360 | SPS=512
update 140/781 | step=143360 | SPS=512
