Saved configuration to: runs/scoutv2_brain_neuromod_gain05_seed3_20260705-165102/config.txt
Training Brain on cuda for 4 RL episodes
  Inner: 800000 timesteps, regime switch every 100000 steps
  Parallel Envs: 4
  Brain vectorization: async
  Async worker CPU threads: 1
  Decision interval: 10 inner updates

--- Starting Meta-RL PPO Training (Target: 4) ---
update 10/781 | step=10240 | SPS=579
update 10/781 | step=10240 | SPS=576
update 10/781 | step=10240 | SPS=570
update 10/781 | step=10240 | SPS=565
update 20/781 | step=20480 | SPS=557
update 20/781 | step=20480 | SPS=555
update 20/781 | step=20480 | SPS=551
update 20/781 | step=20480 | SPS=546
update 30/781 | step=30720 | SPS=549
update 30/781 | step=30720 | SPS=548
update 30/781 | step=30720 | SPS=549
update 30/781 | step=30720 | SPS=545
update 40/781 | step=40960 | SPS=551
update 40/781 | step=40960 | SPS=548
update 40/781 | step=40960 | SPS=547
update 40/781 | step=40960 | SPS=547
update 50/781 | step=51200 | SPS=549
update 50/781 | step=51200 | SPS=546
update 50/781 | step=51200 | SPS=544
update 50/781 | step=51200 | SPS=544
update 60/781 | step=61440 | SPS=546
update 60/781 | step=61440 | SPS=546
update 60/781 | step=61440 | SPS=545
update 60/781 | step=61440 | SPS=544
update 70/781 | step=71680 | SPS=546
update 70/781 | step=71680 | SPS=544
update 70/781 | step=71680 | SPS=543
update 70/781 | step=71680 | SPS=542
update 80/781 | step=81920 | SPS=545
update 80/781 | step=81920 | SPS=544
update 80/781 | step=81920 | SPS=544
update 80/781 | step=81920 | SPS=544
update 90/781 | step=92160 | SPS=546
update 90/781 | step=92160 | SPS=544
update 90/781 | step=92160 | SPS=544
update 90/781 | step=92160 | SPS=544
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 100/781 | step=102400 | SPS=546
update 100/781 | step=102400 | SPS=545
update 100/781 | step=102400 | SPS=545
update 100/781 | step=102400 | SPS=544
update 110/781 | step=112640 | SPS=545
update 110/781 | step=112640 | SPS=545
update 110/781 | step=112640 | SPS=544
update 110/781 | step=112640 | SPS=545
update 120/781 | step=122880 | SPS=545
update 120/781 | step=122880 | SPS=545
update 120/781 | step=122880 | SPS=544
update 120/781 | step=122880 | SPS=545
update 130/781 | step=133120 | SPS=545
update 130/781 | step=133120 | SPS=546
update 130/781 | step=133120 | SPS=545
update 130/781 | step=133120 | SPS=544
update 140/781 | step=143360 | SPS=545
update 140/781 | step=143360 | SPS=546
