condition,n_cells,n_scored,seeds,composite_score_mean,composite_score_ci_lo,composite_score_ci_hi,composite_score_n,mean_post_switch_window_success_rate_mean,mean_post_switch_window_success_rate_ci_lo,mean_post_switch_window_success_rate_ci_hi,mean_post_switch_window_success_rate_n,mean_episode_avg_success_rate_mean,mean_episode_avg_success_rate_ci_lo,mean_episode_avg_success_rate_ci_hi,mean_episode_avg_success_rate_n,median_steps_to_80_mean,median_steps_to_80_ci_lo,median_steps_to_80_ci_hi,median_steps_to_80_n,median_steps_to_95_mean,median_steps_to_95_ci_lo,median_steps_to_95_ci_hi,median_steps_to_95_n,hit_rate_80_mean,hit_rate_80_ci_lo,hit_rate_80_ci_hi,hit_rate_80_n,hit_rate_95_mean,hit_rate_95_ci_lo,hit_rate_95_ci_hi,hit_rate_95_n,mean_post_switch_policy_kl_mean,mean_post_switch_policy_kl_ci_lo,mean_post_switch_policy_kl_ci_hi,mean_post_switch_policy_kl_n,mean_post_switch_value_delta_abs_mean,mean_post_switch_value_delta_abs_ci_lo,mean_post_switch_value_delta_abs_ci_hi,mean_post_switch_value_delta_abs_n,mean_post_switch_neuromod_activity_mean,mean_post_switch_neuromod_activity_ci_lo,mean_post_switch_neuromod_activity_ci_hi,mean_post_switch_neuromod_activity_n
brain_neuromod,2,2,"[3, 4]",0.5504465804146496,0.5438622002165208,0.5570309606127783,2,0.5504465804146496,0.5438622002165208,0.5570309606127783,2,0.8778125122189522,0.8550000041723251,0.9006250202655792,2,45848.0,40444.0,51252.0,2,67556.0,66208.0,68904.0,2,0.8482142857142857,0.8214285714285714,0.875,2,0.4017857142857143,0.36607142857142855,0.4375,2,0.008383442008653218,0.00809958467532072,0.008667299341985719,2,0.3029641839833597,0.2906781459593081,0.3152502220074114,2,0.3038025281842251,0.29154487589350675,0.31606018047494344,2
brain_neuromod_actor_only,2,2,"[3, 4]",0.5503438988524154,0.5384447781481568,0.5622430195566739,2,0.5503438988524154,0.5384447781481568,0.5622430195566739,2,0.9006250202655792,0.9006250202655792,0.9006250202655792,2,44588.0,42864.0,46312.0,2,73948.0,71776.0,76120.0,2,0.8125,0.8125,0.8125,2,0.4330357142857143,0.4107142857142857,0.45535714285714285,2,0.008528605271192192,0.008391193194334587,0.008666017348049795,2,0.0,0.0,0.0,2,0.0008528605271192191,0.0008391193194334587,0.0008666017348049796,2
brain_neuromod_gain05,2,2,"[3, 4]",0.5425858742385052,0.5392377288476051,0.5459340196294054,2,0.5425858742385052,0.5392377288476051,0.5459340196294054,2,0.8868750110268593,0.8775000125169754,0.8962500095367432,2,50836.0,50328.0,51344.0,2,72476.0,70736.0,74216.0,2,0.8125,0.8125,0.8125,2,0.3705357142857143,0.36607142857142855,0.375,2,3.5725368800302146e-06,3.278714848350564e-06,3.866358911709865e-06,2,0.0015688164143024812,0.0015232089324854316,0.0016144238961195308,2,0.0015691736679904842,0.0015235368039702665,0.0016148105320107017,2
