preset,condition,seed,run_name,status,returncode,duration_seconds,composite_score,mean_post_switch_window_success_rate,mean_episode_avg_success_rate,median_steps_to_80,median_steps_to_95,hit_rate_80,hit_rate_95,mean_post_switch_policy_kl,mean_post_switch_value_delta_abs,mean_post_switch_neuromod_activity,inner_run_count,switch_count,run_dir,log_path,error,command
scoutv2,brain_neuromod,3,scoutv2_brain_neuromod_seed3,scored,0,5942.3,0.5570309606127783,0.5570309606127783,0.9006250202655792,40444.0,68904.0,0.875,0.4375,0.00809958467532072,0.3152502220074114,0.31606018047494344,16,112,/workspace/Lifelong-Learning/runs/scoutv2_brain_neuromod_seed3_20260705-101045,sweeps/confirm_g1/logs/scoutv2_brain_neuromod_seed3.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --start_regime 0 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 8 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_num_envs 4 --brain_vectorization async --pretrain_episodes 0 --pretrain_mode recovery --brain_episodes 4 --brain_lr 0.0001 --brain_ent_coef 0.0 --decision_interval 10 --reward_alpha 0.1 --reward_beta 0.5 --reward_mode recovery --episodic_memory_capacity 50000 --max_inner_lr 0.003 --min_inner_lr 0.0001 --min_ent_coef 0.001 --max_ent_coef 0.1 --min_intrinsic_coef 0.001 --max_intrinsic_coef 0.5 --save_every_episodes 5 --plot_every_episodes 0 --seed 3 --device cuda --run_name scoutv2_brain_neuromod_seed3
scoutv2,brain_neuromod,4,scoutv2_brain_neuromod_seed4,scored,0,5951.2,0.5438622002165208,0.5438622002165208,0.8550000041723251,51252.0,66208.0,0.8214285714285714,0.36607142857142855,0.008667299341985719,0.2906781459593081,0.29154487589350675,16,112,/workspace/Lifelong-Learning/runs/scoutv2_brain_neuromod_seed4_20260705-114954,sweeps/confirm_g1/logs/scoutv2_brain_neuromod_seed4.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --start_regime 0 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 8 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_num_envs 4 --brain_vectorization async --pretrain_episodes 0 --pretrain_mode recovery --brain_episodes 4 --brain_lr 0.0001 --brain_ent_coef 0.0 --decision_interval 10 --reward_alpha 0.1 --reward_beta 0.5 --reward_mode recovery --episodic_memory_capacity 50000 --max_inner_lr 0.003 --min_inner_lr 0.0001 --min_ent_coef 0.001 --max_ent_coef 0.1 --min_intrinsic_coef 0.001 --max_intrinsic_coef 0.5 --save_every_episodes 5 --plot_every_episodes 0 --seed 4 --device cuda --run_name scoutv2_brain_neuromod_seed4
scoutv2,brain_neuromod_actor_only,3,scoutv2_brain_neuromod_actor_only_seed3,scored,0,5954.8,0.5622430195566739,0.5622430195566739,0.9006250202655792,42864.0,71776.0,0.8125,0.45535714285714285,0.008666017348049795,0.0,0.0008666017348049796,16,112,/workspace/Lifelong-Learning/runs/scoutv2_brain_neuromod_actor_only_seed3_20260705-132912,sweeps/confirm_g1/logs/scoutv2_brain_neuromod_actor_only_seed3.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --start_regime 0 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 8 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_num_envs 4 --brain_vectorization async --pretrain_episodes 0 --pretrain_mode recovery --brain_episodes 4 --brain_lr 0.0001 --brain_ent_coef 0.0 --decision_interval 10 --reward_alpha 0.1 --reward_beta 0.5 --reward_mode recovery --episodic_memory_capacity 50000 --max_inner_lr 0.003 --min_inner_lr 0.0001 --min_ent_coef 0.001 --max_ent_coef 0.1 --min_intrinsic_coef 0.001 --max_intrinsic_coef 0.5 --save_every_episodes 5 --plot_every_episodes 0 --neuromod_actor_only --seed 3 --device cuda --run_name scoutv2_brain_neuromod_actor_only_seed3
scoutv2,brain_neuromod_actor_only,4,scoutv2_brain_neuromod_actor_only_seed4,scored,0,6142.3,0.5384447781481568,0.5384447781481568,0.9006250202655792,46312.0,76120.0,0.8125,0.4107142857142857,0.008391193194334587,0.0,0.0008391193194334587,16,112,/workspace/Lifelong-Learning/runs/scoutv2_brain_neuromod_actor_only_seed4_20260705-150833,sweeps/confirm_g1/logs/scoutv2_brain_neuromod_actor_only_seed4.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --start_regime 0 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 8 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_num_envs 4 --brain_vectorization async --pretrain_episodes 0 --pretrain_mode recovery --brain_episodes 4 --brain_lr 0.0001 --brain_ent_coef 0.0 --decision_interval 10 --reward_alpha 0.1 --reward_beta 0.5 --reward_mode recovery --episodic_memory_capacity 50000 --max_inner_lr 0.003 --min_inner_lr 0.0001 --min_ent_coef 0.001 --max_ent_coef 0.1 --min_intrinsic_coef 0.001 --max_intrinsic_coef 0.5 --save_every_episodes 5 --plot_every_episodes 0 --neuromod_actor_only --seed 4 --device cuda --run_name scoutv2_brain_neuromod_actor_only_seed4
scoutv2,brain_neuromod_gain05,3,scoutv2_brain_neuromod_gain05_seed3,scored,0,5935.7,0.5459340196294054,0.5459340196294054,0.8962500095367432,50328.0,70736.0,0.8125,0.375,3.278714848350564e-06,0.0015232089324854316,0.0015235368039702665,16,112,/workspace/Lifelong-Learning/runs/scoutv2_brain_neuromod_gain05_seed3_20260705-165102,sweeps/confirm_g1/logs/scoutv2_brain_neuromod_gain05_seed3.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --start_regime 0 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 8 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_num_envs 4 --brain_vectorization async --pretrain_episodes 0 --pretrain_mode recovery --brain_episodes 4 --brain_lr 0.0001 --brain_ent_coef 0.0 --decision_interval 10 --reward_alpha 0.1 --reward_beta 0.5 --reward_mode recovery --episodic_memory_capacity 50000 --max_inner_lr 0.003 --min_inner_lr 0.0001 --min_ent_coef 0.001 --max_ent_coef 0.1 --min_intrinsic_coef 0.001 --max_intrinsic_coef 0.5 --save_every_episodes 5 --plot_every_episodes 0 --neuromod_gain_alpha 0.5 --seed 3 --device cuda --run_name scoutv2_brain_neuromod_gain05_seed3
scoutv2,brain_neuromod_gain05,4,scoutv2_brain_neuromod_gain05_seed4,scored,0,5921.7,0.5392377288476051,0.5392377288476051,0.8775000125169754,51344.0,74216.0,0.8125,0.36607142857142855,3.866358911709865e-06,0.0016144238961195308,0.0016148105320107017,16,112,/workspace/Lifelong-Learning/runs/scoutv2_brain_neuromod_gain05_seed4_20260705-183005,sweeps/confirm_g1/logs/scoutv2_brain_neuromod_gain05_seed4.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --start_regime 0 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 8 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_num_envs 4 --brain_vectorization async --pretrain_episodes 0 --pretrain_mode recovery --brain_episodes 4 --brain_lr 0.0001 --brain_ent_coef 0.0 --decision_interval 10 --reward_alpha 0.1 --reward_beta 0.5 --reward_mode recovery --episodic_memory_capacity 50000 --max_inner_lr 0.003 --min_inner_lr 0.0001 --min_ent_coef 0.001 --max_ent_coef 0.1 --min_intrinsic_coef 0.001 --max_intrinsic_coef 0.5 --save_every_episodes 5 --plot_every_episodes 0 --neuromod_gain_alpha 0.5 --seed 4 --device cuda --run_name scoutv2_brain_neuromod_gain05_seed4
