condition,n_cells,n_scored,seeds,composite_score_mean,composite_score_ci_lo,composite_score_ci_hi,composite_score_n,mean_post_switch_window_success_rate_mean,mean_post_switch_window_success_rate_ci_lo,mean_post_switch_window_success_rate_ci_hi,mean_post_switch_window_success_rate_n,mean_episode_avg_success_rate_mean,mean_episode_avg_success_rate_ci_lo,mean_episode_avg_success_rate_ci_hi,mean_episode_avg_success_rate_n,median_steps_to_80_mean,median_steps_to_80_ci_lo,median_steps_to_80_ci_hi,median_steps_to_80_n,median_steps_to_95_mean,median_steps_to_95_ci_lo,median_steps_to_95_ci_hi,median_steps_to_95_n,hit_rate_80_mean,hit_rate_80_ci_lo,hit_rate_80_ci_hi,hit_rate_80_n,hit_rate_95_mean,hit_rate_95_ci_lo,hit_rate_95_ci_hi,hit_rate_95_n,mean_post_switch_policy_kl_mean,mean_post_switch_policy_kl_ci_lo,mean_post_switch_policy_kl_ci_hi,mean_post_switch_policy_kl_n,mean_post_switch_value_delta_abs_mean,mean_post_switch_value_delta_abs_ci_lo,mean_post_switch_value_delta_abs_ci_hi,mean_post_switch_value_delta_abs_n,mean_post_switch_neuromod_activity_mean,mean_post_switch_neuromod_activity_ci_lo,mean_post_switch_neuromod_activity_ci_hi,mean_post_switch_neuromod_activity_n
brain_neuromod,2,2,"[5, 6]",0.5530541096241012,0.541668450492629,0.5644397687555733,2,0.5530541096241012,0.541668450492629,0.5644397687555733,2,0.8803125023841858,0.8662500083446503,0.8943749964237213,2,47516.0,41568.0,53464.0,2,67158.0,65284.0,69032.0,2,0.8080357142857142,0.7946428571428571,0.8214285714285714,2,0.4330357142857143,0.35714285714285715,0.5089285714285714,2,0.008243945814608977,0.007995263027552418,0.008492628601665534,2,0.31167522490723054,0.29989730387793057,0.3234531459365306,2,0.31249961948869154,0.3006968301806858,0.3243024087966972,2
brain_neuromod_actor_only,2,2,"[5, 6]",0.5496840166273397,0.5478362575066404,0.5515317757480389,2,0.5496840166273397,0.5478362575066404,0.5515317757480389,2,0.8853124976158142,0.8537499904632568,0.9168750047683716,2,46194.0,45456.0,46932.0,2,66692.0,66488.0,66896.0,2,0.8392857142857143,0.8035714285714286,0.875,2,0.4151785714285714,0.4017857142857143,0.42857142857142855,2,0.007864149633646126,0.007758019717234025,0.007970279550058227,2,0.0,0.0,0.0,2,0.0007864149633646126,0.0007758019717234025,0.0007970279550058228,2
brain_neuromod_gain05,2,2,"[5, 6]",0.5419472604036748,0.5377571793893857,0.546137341417964,2,0.5419472604036748,0.5377571793893857,0.546137341417964,2,0.8971875086426735,0.8949999958276749,0.8993750214576721,2,50096.0,46752.0,53440.0,2,71324.0,71312.0,71336.0,2,0.8392857142857143,0.8035714285714286,0.875,2,0.375,0.32142857142857145,0.42857142857142855,2,3.2066321281324205e-06,2.9459008773713436e-06,3.467363378893497e-06,2,0.0015603486398634101,0.0015455390459724835,0.0015751582337543367,2,0.0015606693030762236,0.0015458857823103728,0.0015754528238420742,2
