preset,condition,seed,run_name,status,returncode,duration_seconds,composite_score,mean_post_switch_window_success_rate,mean_episode_avg_success_rate,median_steps_to_80,median_steps_to_95,hit_rate_80,hit_rate_95,mean_post_switch_policy_kl,mean_post_switch_value_delta_abs,mean_post_switch_neuromod_activity,inner_run_count,switch_count,run_dir,log_path,error,command
calib8x8,brain_neuromod_trainable_slowbrain,1,calib8x8_brain_neuromod_trainable_slowbrain_seed1,scored,0,18828.7,0.519872457494264,0.519872457494264,0.8866666734218598,38248.0,67824.0,0.7428571428571429,0.3952380952380952,0.009743136256038848,0.31680408342637956,0.31777839705198335,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_slowbrain_seed1_20260701-180038,sweeps/tvf2_slowbrain/logs/calib8x8_brain_neuromod_trainable_slowbrain_seed1.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --brain_lr 3e-05 --seed 1 --device cuda --run_name calib8x8_brain_neuromod_trainable_slowbrain_seed1
calib8x8,brain_neuromod_trainable_slowbrain,2,calib8x8_brain_neuromod_trainable_slowbrain_seed2,scored,0,18892.9,0.5044654911883317,0.5044654911883317,0.8120000044504802,51184.0,69184.0,0.8523809523809524,0.38095238095238093,0.010361177338534847,0.3607988597972999,0.3618349775311533,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_slowbrain_seed2_20260701-180038,sweeps/tvf2_slowbrain/logs/calib8x8_brain_neuromod_trainable_slowbrain_seed2.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --brain_lr 3e-05 --seed 2 --device cuda --run_name calib8x8_brain_neuromod_trainable_slowbrain_seed2
calib8x8,brain_neuromod_trainable_slowbrain,3,calib8x8_brain_neuromod_trainable_slowbrain_seed3,scored,0,17828.7,0.514192484969337,0.514192484969337,0.8156666686137517,61488.0,82680.0,0.8666666666666667,0.20952380952380953,0.010829026724529702,0.2816438936938842,0.2827267963663372,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_slowbrain_seed3_20260701-231433,sweeps/tvf2_slowbrain/logs/calib8x8_brain_neuromod_trainable_slowbrain_seed3.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --brain_lr 3e-05 --seed 3 --device cuda --run_name calib8x8_brain_neuromod_trainable_slowbrain_seed3
calib8x8,brain_neuromod_trainable_slowbrain,4,calib8x8_brain_neuromod_trainable_slowbrain_seed4,scored,0,17781.8,0.5022393899531787,0.5022393899531787,0.8273333325982094,58504.0,73136.0,0.8761904761904762,0.26666666666666666,0.01243227453189089,0.3344978852049698,0.33574111265815904,30,210,/workspace/Lifelong-Learning/runs/calib8x8_brain_neuromod_trainable_slowbrain_seed4_20260701-231537,sweeps/tvf2_slowbrain/logs/calib8x8_brain_neuromod_trainable_slowbrain_seed4.log,,/venv/main/bin/python /workspace/Lifelong-Learning/scripts/train_brain.py --env_id MiniGrid-MultiGoal-8x8-v0 --num_regimes 2 --inner_total_timesteps 800000 --inner_steps_per_regime 100000 --inner_num_envs 16 --inner_num_steps 128 --inner_mode dyna --inner_intrinsic_coef 0.015 --inner_imagined_horizon 10 --inner_wm_lr 0.0001 --brain_episodes 30 --brain_num_envs 1 --brain_vectorization sync --pretrain_episodes 0 --decision_interval 10 --reward_mode recovery_v2 --save_every_episodes 5 --plot_every_episodes 0 --trainable_neuromod --brain_lr 3e-05 --seed 4 --device cuda --run_name calib8x8_brain_neuromod_trainable_slowbrain_seed4
