condition,n_cells,n_scored,seeds,composite_score_mean,composite_score_ci_lo,composite_score_ci_hi,composite_score_n,mean_post_switch_window_success_rate_mean,mean_post_switch_window_success_rate_ci_lo,mean_post_switch_window_success_rate_ci_hi,mean_post_switch_window_success_rate_n,mean_episode_avg_success_rate_mean,mean_episode_avg_success_rate_ci_lo,mean_episode_avg_success_rate_ci_hi,mean_episode_avg_success_rate_n,median_steps_to_80_mean,median_steps_to_80_ci_lo,median_steps_to_80_ci_hi,median_steps_to_80_n,median_steps_to_95_mean,median_steps_to_95_ci_lo,median_steps_to_95_ci_hi,median_steps_to_95_n,hit_rate_80_mean,hit_rate_80_ci_lo,hit_rate_80_ci_hi,hit_rate_80_n,hit_rate_95_mean,hit_rate_95_ci_lo,hit_rate_95_ci_hi,hit_rate_95_n,mean_post_switch_policy_kl_mean,mean_post_switch_policy_kl_ci_lo,mean_post_switch_policy_kl_ci_hi,mean_post_switch_policy_kl_n,mean_post_switch_value_delta_abs_mean,mean_post_switch_value_delta_abs_ci_lo,mean_post_switch_value_delta_abs_ci_hi,mean_post_switch_value_delta_abs_n,mean_post_switch_neuromod_activity_mean,mean_post_switch_neuromod_activity_ci_lo,mean_post_switch_neuromod_activity_ci_hi,mean_post_switch_neuromod_activity_n
brain_neuromod,2,2,"[7, 8]",0.5550759417071736,0.5534630874319365,0.5566887959824105,2,0.5550759417071736,0.5534630874319365,0.5566887959824105,2,0.8890625163912773,0.8718750327825546,0.90625,2,45054.0,45040.0,45068.0,2,69104.0,65576.0,72632.0,2,0.84375,0.8392857142857143,0.8482142857142857,2,0.4151785714285714,0.4017857142857143,0.42857142857142855,2,0.008543005853071658,0.008440112154279892,0.008645899551863425,2,0.3392063893269681,0.33635349881535925,0.3420592798385769,2,0.3400606899122753,0.3372180887705456,0.34290329105400497,2
brain_neuromod_actor_only,2,2,"[7, 8]",0.5460145134079459,0.5432532244563862,0.5487758023595057,2,0.5460145134079459,0.5432532244563862,0.5487758023595057,2,0.8865625113248825,0.851250022649765,0.921875,2,46630.0,43164.0,50096.0,2,73292.0,67632.0,78952.0,2,0.8348214285714286,0.8125,0.8571428571428571,2,0.4285714285714286,0.39285714285714285,0.4642857142857143,2,0.008761169155608125,0.008217086376700017,0.009305251934516232,2,0.0,0.0,0.0,2,0.0008761169155608124,0.0008217086376700016,0.0009305251934516232,2
brain_neuromod_gain05,2,2,"[7, 8]",0.5516916720134779,0.541686611056035,0.5616967329709209,2,0.5516916720134779,0.541686611056035,0.5616967329709209,2,0.9140625149011612,0.8975000232458115,0.9306250065565109,2,44202.0,42388.0,46016.0,2,68408.0,64448.0,72368.0,2,0.8125,0.75,0.875,2,0.4598214285714286,0.39285714285714285,0.5267857142857143,2,3.299721801406998e-06,3.256133124355084e-06,3.343310478458912e-06,2,0.0015224173872931198,0.0015069036611488889,0.0015379311134373504,2,0.0015227473594732603,0.0015072379921967347,0.0015382567267497858,2
