condition,n_cells,n_scored,seeds,composite_score_mean,composite_score_ci_lo,composite_score_ci_hi,composite_score_n,mean_post_switch_window_success_rate_mean,mean_post_switch_window_success_rate_ci_lo,mean_post_switch_window_success_rate_ci_hi,mean_post_switch_window_success_rate_n,mean_episode_avg_success_rate_mean,mean_episode_avg_success_rate_ci_lo,mean_episode_avg_success_rate_ci_hi,mean_episode_avg_success_rate_n,median_steps_to_80_mean,median_steps_to_80_ci_lo,median_steps_to_80_ci_hi,median_steps_to_80_n,median_steps_to_95_mean,median_steps_to_95_ci_lo,median_steps_to_95_ci_hi,median_steps_to_95_n,hit_rate_80_mean,hit_rate_80_ci_lo,hit_rate_80_ci_hi,hit_rate_80_n,hit_rate_95_mean,hit_rate_95_ci_lo,hit_rate_95_ci_hi,hit_rate_95_n,mean_post_switch_policy_kl_mean,mean_post_switch_policy_kl_ci_lo,mean_post_switch_policy_kl_ci_hi,mean_post_switch_policy_kl_n,mean_post_switch_value_delta_abs_mean,mean_post_switch_value_delta_abs_ci_lo,mean_post_switch_value_delta_abs_ci_hi,mean_post_switch_value_delta_abs_n,mean_post_switch_neuromod_activity_mean,mean_post_switch_neuromod_activity_ci_lo,mean_post_switch_neuromod_activity_ci_hi,mean_post_switch_neuromod_activity_n
brain_neuromod,2,2,"[1, 2]",0.5549136473635716,0.5466785577227864,0.5631487370043569,2,0.5549136473635716,0.5466785577227864,0.5631487370043569,2,0.8896875157952309,0.8643750101327896,0.9150000214576721,2,40616.0,40488.0,40744.0,2,66170.0,65548.0,66792.0,2,0.8169642857142857,0.8125,0.8214285714285714,2,0.4776785714285714,0.45535714285714285,0.5,2,0.008332211750056981,0.008150597814900656,0.008513825685213305,2,0.35776766059072024,0.3306187975253644,0.3849165236560761,2,0.3586008817657259,0.3314701800938857,0.3857315834375661,2
brain_neuromod_actor_only,2,2,"[1, 2]",0.5454577220118147,0.5452680102024252,0.5456474338212043,2,0.5454577220118147,0.5452680102024252,0.5456474338212043,2,0.9065624848008156,0.9018749892711639,0.9112499803304672,2,45888.0,43080.0,48696.0,2,73138.0,70216.0,76060.0,2,0.8303571428571428,0.7946428571428571,0.8660714285714286,2,0.42410714285714285,0.36607142857142855,0.48214285714285715,2,0.0081642055795874,0.008085433046809953,0.008242978112364848,2,0.0,0.0,0.0,2,0.0008164205579587402,0.0008085433046809954,0.000824297811236485,2
brain_neuromod_gain05,2,2,"[1, 2]",0.5478232502961998,0.5449541482853466,0.550692352307053,2,0.5478232502961998,0.5449541482853466,0.550692352307053,2,0.9112500101327896,0.9099999964237213,0.9125000238418579,2,46266.0,45320.0,47212.0,2,71976.0,71956.0,71996.0,2,0.8169642857142857,0.8125,0.8214285714285714,2,0.4464285714285714,0.42857142857142855,0.4642857142857143,2,3.2704486258171096e-06,2.9315266846241528e-06,3.6093705670100667e-06,2,0.0015889636814660792,0.0014592257702523577,0.0017187015926798006,2,0.0015892907263286608,0.00145951892292082,0.0017190625297365016,2
